# zl, zs1, zs2, rein1, rein2, beta, betaerr, SN1, SN2, mag1, mag2, sigma_v_km_s
# Warning: oversampling is by a factor of 1
5.240000000000000213e-01 1.387000000000000011e+00 2.111000000000000210e+00 1.760000000000000009e+00 2.112999999999999989e+00 8.330999999999999517e-01 1.039999999999999952e-02 2.890500000000000114e+01 7.135099999999999909e+01 3.434000000000000163e+00 1.350999999999999979e+01 3.412331293619680537e+02
7.730000000000000204e-01 1.491999999999999993e+00 1.868999999999999995e+00 1.155000000000000027e+00 1.399999999999999911e+00 8.254000000000000226e-01 1.239999999999999956e-02 2.402599999999999980e+01 2.076699999999999946e+01 1.933099999999999952e+01 1.349099999999999966e+01 3.270729018967537627e+02
5.789999999999999591e-01 1.463999999999999968e+00 2.258000000000000007e+00 7.700000000000000178e-01 9.409999999999999476e-01 8.185000000000000053e-01 1.600000000000000033e-02 3.073600000000000065e+01 2.068199999999999861e+01 6.088000000000000078e+00 6.645999999999999908e+00 2.311418856170443235e+02
3.439999999999999725e-01 7.449999999999999956e-01 2.779999999999999805e+00 6.450000000000000178e-01 1.036000000000000032e+00 6.228000000000000203e-01 1.299999999999999940e-02 2.955000000000000071e+01 4.817799999999999727e+01 8.069000000000000838e+00 4.823999999999999844e+00 2.147981916418031574e+02
3.990000000000000213e-01 8.529999999999999805e-01 1.264999999999999902e+00 1.094000000000000083e+00 1.399999999999999911e+00 7.815999999999999615e-01 1.200000000000000025e-02 2.094099999999999895e+01 3.206600000000000250e+01 1.657900000000000063e+01 6.341000000000000192e+00 2.840120296797216497e+02
4.380000000000000004e-01 8.519999999999999796e-01 1.288999999999999924e+00 1.169000000000000039e+00 1.576999999999999957e+00 7.412999999999999590e-01 1.080000000000000057e-02 2.160699999999999932e+01 1.270799999999999983e+02 1.080599999999999916e+01 4.410000000000000142e+00 3.091557042314105956e+02
4.060000000000000275e-01 1.312000000000000055e+00 2.116999999999999993e+00 1.683000000000000052e+00 1.957999999999999963e+00 8.599999999999999867e-01 1.089999999999999997e-02 2.927700000000000102e+01 2.782700000000000173e+01 3.230999999999999872e+00 4.636999999999999567e+00 3.105687825085722125e+02
4.329999999999999960e-01 8.169999999999999485e-01 3.067000000000000171e+00 5.510000000000000453e-01 9.889999999999999902e-01 5.576999999999999735e-01 1.290000000000000001e-02 7.763599999999999568e+01 2.568199999999999861e+01 3.466000000000000192e+00 5.043999999999999595e+00 2.155716206211110375e+02
4.949999999999999956e-01 1.165000000000000036e+00 1.649000000000000021e+00 7.720000000000000195e-01 9.340000000000000524e-01 8.264000000000000234e-01 1.619999999999999912e-02 3.181899999999999906e+01 4.813499999999999801e+01 7.532000000000000028e+00 3.150999999999999801e+00 2.336295587857776468e+02
3.950000000000000178e-01 7.469999999999999973e-01 1.794000000000000039e+00 8.060000000000000497e-01 1.318000000000000060e+00 6.120999999999999774e-01 1.080000000000000057e-02 5.225000000000000000e+01 2.507199999999999918e+01 6.136999999999999567e+00 6.743999999999999773e+00 2.586796333824916587e+02
6.500000000000000222e-01 1.205999999999999961e+00 3.132000000000000117e+00 1.459000000000000075e+00 2.470000000000000195e+00 5.907000000000000028e-01 7.499999999999999722e-03 2.576699999999999946e+01 1.277390000000000043e+02 3.358999999999999986e+00 3.604999999999999982e+00 3.678373496156340252e+02
2.590000000000000080e-01 5.969999999999999751e-01 7.850000000000000311e-01 1.032999999999999918e+00 1.219999999999999973e+00 8.467999999999999972e-01 1.370000000000000037e-02 1.493240000000000123e+02 1.274699999999999989e+02 3.708000000000000185e+00 7.963000000000000078e+00 2.613011998909801719e+02
5.959999999999999742e-01 1.578999999999999959e+00 5.589000000000000412e+00 7.299999999999999822e-01 1.034999999999999920e+00 7.048999999999999710e-01 1.379999999999999977e-02 4.284899999999999665e+01 2.520499999999999829e+01 3.161999999999999922e+00 3.371999999999999886e+00 2.225283003819404826e+02
5.390000000000000346e-01 1.076999999999999957e+00 2.758999999999999897e+00 4.640000000000000235e-01 7.369999999999999885e-01 6.293999999999999595e-01 1.720000000000000001e-02 2.172299999999999898e+01 2.682999999999999829e+01 5.174000000000000377e+00 3.017999999999999794e+00 1.955861145169304223e+02
2.250000000000000056e-01 4.069999999999999729e-01 7.960000000000000409e-01 7.550000000000000044e-01 1.203000000000000069e+00 6.268000000000000238e-01 1.159999999999999920e-02 2.020599999999999952e+01 2.534100000000000108e+01 3.520999999999999908e+00 4.080000000000000071e+00 2.497321421177063314e+02
2.810000000000000275e-01 1.185999999999999943e+00 2.717000000000000082e+00 9.719999999999999751e-01 1.133999999999999897e+00 8.577000000000000179e-01 1.439999999999999961e-02 3.160800000000000054e+01 3.142999999999999972e+01 3.548000000000000043e+00 3.111000000000000210e+00 2.198486389941203072e+02
9.849999999999999867e-01 1.895999999999999908e+00 2.984999999999999876e+00 7.720000000000000195e-01 1.070000000000000062e+00 7.216000000000000192e-01 1.359999999999999924e-02 2.486700000000000088e+01 3.567699999999999960e+01 5.030000000000000249e+00 3.642999999999999794e+00 2.772949475596217326e+02
1.213000000000000078e+00 2.233000000000000096e+00 2.958000000000000185e+00 1.004999999999999893e+00 1.294000000000000039e+00 7.770000000000000240e-01 1.250000000000000069e-02 2.673999999999999844e+01 2.312399999999999878e+01 7.500000000000000000e+00 3.810000000000000053e+00 3.359309137303168313e+02
5.889999999999999680e-01 1.679000000000000048e+00 2.081999999999999851e+00 7.560000000000000053e-01 8.319999999999999618e-01 9.082999999999999963e-01 1.859999999999999848e-02 2.130399999999999849e+01 2.112900000000000134e+01 4.024000000000000021e+00 3.666999999999999815e+00 2.216196144402973687e+02
6.179999999999999938e-01 1.383999999999999897e+00 2.129999999999999893e+00 1.098999999999999977e+00 1.399000000000000021e+00 7.852000000000000091e-01 1.200000000000000025e-02 4.467199999999999704e+01 7.367900000000000205e+01 3.887999999999999901e+00 1.467800000000000082e+01 2.902680227729983358e+02
3.200000000000000067e-01 7.950000000000000400e-01 2.108000000000000096e+00 1.528999999999999915e+00 2.145999999999999908e+00 7.124000000000000332e-01 9.100000000000000450e-03 2.068400000000000105e+01 2.248199999999999932e+01 1.962800000000000011e+01 3.519000000000000128e+00 3.128433554506146379e+02
